,carat,cut,color,clarity,depth,table,price,x,y,z
48,0.3,Ideal,G,VVS1,61.8,56.0,720,4.34,4.37,2.69
49,0.4,Premium,H,VS1,62.7,59.0,731,4.63,4.71,2.93
50,0.34,Ideal,E,VVS2,62.4,55.0,944,4.47,4.51,2.79
51,1.22,Very Good,E,VS2,60.8,59.0,9475,6.87,6.91,4.19
52,1.01,Premium,D,SI1,58.9,58.0,5532,6.57,6.54,3.86
53,1.58,Very Good,H,VVS2,60.9,58.0,12459,7.56,7.65,4.63
54,0.34,Premium,H,VVS1,61.2,60.0,775,4.46,4.5,2.74
55,0.33,Premium,G,VVS2,61.3,59.0,722,4.42,4.45,2.72
56,0.3,Ideal,E,VS1,61.6,57.0,936,4.33,4.3,2.66
57,0.5,Ideal,D,VS2,61.9,55.0,1690,5.09,5.12,3.16
58,2.72,Ideal,H,I1,59.6,55.0,11594,9.17,9.13,5.45
59,0.32,Premium,G,VS2,59.9,57.0,720,4.51,4.47,2.69
60,0.3,Ideal,G,VS1,61.8,54.0,776,4.32,4.29,2.66
61,1.04,Premium,E,SI1,61.2,59.0,5894,6.54,6.47,3.98
62,1.51,Ideal,H,VS2,,57.0,10685,7.37,7.33,4.6
63,0.8,Premium,J,SI2,60.2,59.0,2022,6.07,5.95,3.62
64,1.24,Ideal,J,VS1,61.6,57.0,5866,6.89,6.93,4.26
65,0.76,Ideal,G,VS2,61.7,54.0,2954,5.88,5.92,3.64
66,0.41,Very Good,D,SI1,63.0,56.0,717,4.75,4.8,3.01
67,0.3,Very Good,D,VS1,63.0,56.0,645,4.27,4.33,2.71
68,0.33,Premium,H,VS2,61.3,60.0,668,4.47,4.44,2.73
69,1.54,Premium,J,VS2,59.3,59.0,6202,7.54,7.5,4.46
70,0.35,Premium,F,VS2,61.1,62.0,906,4.54,4.5,2.76
71,0.36,Premium,G,VS1,62.2,59.0,932,4.57,4.53,2.83
72,1.03,Ideal,E,SI2,62.3,56.0,4845,6.52,6.44,4.04
73,1.27,Ideal,F,VVS2,62.2,54.0,12576,6.92,6.95,4.31
74,0.4,Very Good,D,VVS2,62.2,62.0,1010,4.68,4.71,2.92
75,1.19,Good,E,VS2,57.4,60.0,7064,7.0,6.9,3.99
76,0.58,Premium,E,SI1,62.1,58.0,1812,5.35,5.31,3.31
77,0.42,Ideal,G,VS2,62.1,56.0,847,4.79,4.84,2.99
78,0.4,Very Good,E,VS2,62.2,58.0,912,4.67,4.72,2.92
79,0.9,Very Good,J,VS2,61.9,59.0,3119,6.14,6.2,3.82
80,0.36,Premium,F,SI1,61.1,60.0,616,4.62,4.57,2.81
81,1.01,Premium,H,SI2,59.4,59.0,4072,6.56,6.53,3.89
82,0.39,Ideal,F,VS1,62.3,57.0,958,4.65,4.69,2.91
83,2.11,Very Good,I,SI2,63.8,54.0,12937,8.13,8.19,5.21
84,0.58,Ideal,F,SI2,,57.0,1208,5.27,5.33,3.32
85,1.01,Premium,F,SI2,62.2,58.0,3597,6.4,6.37,3.97
86,0.25,Very Good,E,VVS2,63.2,59.0,548,3.98,4.0,2.52
87,1.07,Premium,I,VS2,60.7,58.0,4491,6.62,6.66,4.03
88,1.29,Ideal,J,VS1,62.0,57.0,5779,6.98,6.92,4.31
89,0.4,Good,F,SI1,63.6,59.0,869,4.67,4.64,2.96
90,0.73,Fair,D,SI2,65.5,60.0,2147,5.64,5.54,3.66
91,0.85,Ideal,H,SI1,60.8,57.0,3183,6.13,6.18,3.74
92,0.76,Ideal,J,VS1,61.9,54.0,2307,5.88,5.84,3.63
93,1.24,Ideal,H,,61.4,57.0,5683,6.92,6.88,4.24
94,1.06,Ideal,F,SI2,61.8,56.0,5354,6.56,6.51,4.04
95,0.51,Very Good,G,IF,63.8,58.0,2063,5.06,5.09,3.24
96,0.77,Ideal,E,VVS1,61.6,55.0,5251,5.87,5.95,3.64
97,1.51,Very Good,I,SI1,62.7,61.0,8637,7.27,7.33,4.58
98,1.52,Premium,I,SI1,61.2,60.0,8299,7.41,7.36,4.52
99,0.71,Ideal,J,VVS2,60.5,58.0,2162,5.77,5.8,3.5
100,0.34,Premium,E,SI1,59.3,58.0,596,4.55,4.59,2.71
101,0.52,Ideal,H,VS2,61.5,55.0,1593,5.18,5.22,3.2
102,0.63,Ideal,G,SI1,61.7,54.0,1628,5.52,5.56,3.42
103,1.51,Premium,H,VS2,60.2,60.0,11540,7.35,7.33,4.42
104,0.6,Ideal,F,VVS2,62.3,56.0,2652,5.37,5.41,3.36
105,0.4,Very Good,F,VS1,62.2,57.6,1089,4.74,4.76,2.96
106,1.08,Good,J,VS2,64.3,58.0,3980,6.46,6.44,4.15
107,0.32,Ideal,H,SI2,60.9,56.0,434,4.41,4.45,2.7
108,0.92,Premium,F,SI2,61.8,58.0,3787,6.23,6.19,3.84
109,1.32,Very Good,H,SI1,62.4,58.0,7119,7.02,7.09,4.4
110,1.91,Fair,I,VS1,59.5,68.0,12244,8.1,7.91,4.78
111,1.07,Very Good,E,VS1,62.0,60.0,7768,6.49,6.58,4.05
112,0.56,Ideal,D,SI2,60.0,58.0,1568,5.42,5.38,3.24
113,2.42,Premium,J,SI2,62.3,58.0,16198,8.63,8.55,5.35
114,0.4,Premium,F,VVS1,61.9,57.0,1323,4.71,4.69,2.91
115,0.38,Premium,E,VS2,60.3,58.0,1112,4.72,4.67,2.83
116,0.9,Ideal,F,SI2,61.5,56.0,4198,6.24,6.18,3.82
117,0.41,Ideal,F,IF,62.3,55.0,1439,4.78,4.82,2.99
118,0.32,Ideal,D,SI1,61.9,57.0,756,4.4,4.36,2.71
119,0.5,Ideal,E,SI2,62.5,57.0,1154,5.04,5.07,3.16
120,0.3,Ideal,D,VS1,61.1,57.0,885,4.34,4.37,2.66
121,1.06,Ideal,G,SI1,62.0,57.0,5342,6.54,6.5,4.04
122,0.32,Ideal,F,SI1,61.0,55.0,648,4.45,4.47,2.72
123,0.54,Ideal,G,VS1,61.7,56.0,1809,5.22,5.25,3.23
124,1.0,Premium,F,SI2,61.7,57.0,3853,6.42,6.35,3.94
125,1.01,Very Good,J,SI2,62.8,59.0,3906,6.34,6.37,3.99
126,0.66,Very Good,F,SI2,61.6,54.0,1311,5.62,5.64,3.47
127,1.58,Premium,E,VS2,60.1,60.0,14453,7.53,7.54,4.53
128,0.23,Very Good,F,VS1,61.9,58.0,402,3.9,4.02,2.45
129,0.35,Ideal,G,VS1,61.1,56.0,923,4.55,4.58,2.79
130,1.0,Very Good,E,SI1,59.6,60.0,5351,6.43,6.48,3.85
131,0.44,Ideal,G,VVS1,62.3,56.0,1202,4.85,4.87,3.03
132,0.33,Premium,E,SI2,60.0,59.0,594,4.49,4.47,2.69
133,0.3,Very Good,H,SI1,62.9,56.0,421,4.28,4.31,2.7
134,1.09,Very Good,D,IF,61.7,58.0,18231,6.55,6.65,4.07
135,1.11,Ideal,H,SI1,62.6,57.0,5688,6.64,6.59,4.14
136,2.2,Ideal,H,SI2,62.6,55.0,14408,8.34,8.31,5.21
137,0.5,Good,D,SI1,61.1,64.0,1374,5.05,5.07,3.09
138,1.01,Premium,D,VS1,62.4,58.0,8416,6.41,6.38,3.99
139,0.71,Premium,H,VS2,62.8,59.0,2181,5.68,5.63,3.55
140,0.81,Ideal,H,VVS2,62.0,57.0,3497,5.93,5.97,3.69
141,1.5,Premium,F,SI2,60.8,59.0,9240,7.3,7.36,4.46
142,1.24,Ideal,H,SI1,60.9,57.0,6488,6.9,6.95,4.22
143,0.7,Premium,F,SI1,62.1,59.0,2196,5.68,5.72,3.54
144,1.54,Ideal,G,VS2,60.8,57.0,15395,7.44,7.46,4.53
145,1.4,Premium,E,SI2,62.4,57.0,6147,7.17,7.12,4.46
146,0.32,Ideal,H,VS1,61.9,55.0,720,4.42,4.4,2.73
147,0.23,Very Good,E,VVS2,62.7,59.0,465,3.93,3.95,2.47
148,0.34,Good,E,SI1,63.3,57.0,556,4.44,4.47,2.82
149,0.74,Ideal,E,SI1,62.6,56.0,2489,5.74,5.7,3.58
150,0.74,Ideal,I,VS1,62.0,56.0,2947,5.79,5.82,3.6
151,2.17,Ideal,I,SI1,60.7,57.0,17747,8.38,8.42,5.1
152,1.51,Premium,H,SI1,60.7,59.0,10020,7.43,7.39,4.5
153,0.5,Very Good,D,VVS2,61.7,59.0,2115,5.02,5.09,3.12
154,0.72,Ideal,F,SI1,61.5,56.0,2870,5.72,5.79,3.54
155,1.0,Very Good,J,SI2,62.8,63.0,3293,6.26,6.19,3.19
156,0.39,Ideal,G,IF,62.1,53.7,1189,4.67,4.71,2.91
157,0.92,Ideal,E,SI2,62.1,53.0,3941,6.25,6.22,3.87
158,1.56,Ideal,J,VS2,62.4,57.0,7809,7.39,7.46,4.63
159,1.08,Premium,H,VS2,62.9,55.0,5775,6.59,6.54,4.13
160,0.9,Ideal,H,SI2,61.8,56.0,4101,6.17,6.2,3.82
161,1.05,Premium,H,VS2,62.7,59.0,5370,6.43,6.49,4.05
162,0.5,Very Good,F,VS2,62.8,56.0,1436,5.05,5.07,3.18
163,0.4,Ideal,D,VS2,62.8,57.0,895,4.68,4.72,2.95
164,0.32,Ideal,F,IF,60.9,57.0,943,4.41,4.43,2.69
165,0.34,Premium,I,VS1,61.0,60.0,537,4.48,4.51,2.74
166,0.71,Premium,G,SI2,58.2,60.0,1902,5.91,5.88,3.43
167,0.41,Very Good,G,SI1,62.4,56.0,698,4.75,4.77,2.97
168,0.31,Good,E,SI1,63.1,57.0,544,4.3,4.35,2.73
169,1.0,Premium,E,SI2,61.1,58.0,4620,6.44,6.48,3.95
170,0.5,Ideal,E,VS2,61.3,57.0,1624,5.13,5.15,3.15
171,0.76,Premium,F,SI1,60.3,58.0,2607,5.91,5.96,3.58
172,1.54,Premium,E,SI1,59.3,60.0,11795,7.58,7.54,4.48
173,0.27,Ideal,H,VS2,60.5,57.0,397,4.17,4.19,2.53
174,0.91,Very Good,G,SI2,62.8,59.0,3006,6.09,6.14,3.84
175,0.71,Ideal,J,SI1,60.6,57.0,2700,5.78,5.83,3.52
176,0.3,Ideal,G,SI1,62.1,53.0,422,4.32,4.37,2.7
177,0.34,Ideal,G,VVS2,61.1,57.0,995,4.52,4.48,2.75
178,1.38,Fair,G,SI2,61.2,59.0,4730,7.19,7.13,4.38
179,0.29,Very Good,G,VVS1,62.0,55.0,607,4.27,4.29,2.65
180,0.3,Ideal,H,SI1,62.2,57.0,450,4.26,4.29,2.66
181,0.46,Ideal,E,SI2,61.3,56.0,1116,5.02,4.96,3.06
182,0.9,Very Good,H,VS2,62.7,59.0,4173,6.11,6.17,3.85
183,0.53,Ideal,G,SI1,61.0,55.0,1439,5.23,5.26,3.2
184,1.01,Good,E,SI1,59.3,64.0,4480,6.49,6.47,3.84
185,0.31,Ideal,H,VVS2,62.4,57.0,802,4.36,4.32,2.71
186,0.53,Premium,G,SI1,61.3,58.0,1268,5.16,5.21,3.18
187,0.32,Ideal,G,VVS1,60.8,56.0,842,4.37,4.44,2.68
188,1.0,Good,I,SI1,63.2,56.0,4015,6.31,6.37,4.01
189,0.33,Very Good,I,VVS2,62.1,56.0,579,4.41,4.45,2.75
190,0.53,Premium,F,VS2,61.6,57.1,1712,5.15,5.21,3.19
191,0.32,Premium,E,SI1,62.8,57.0,720,4.39,4.34,2.74
192,0.9,Very Good,J,VS1,62.3,56.0,3231,6.19,6.23,3.87
193,0.32,Premium,H,VVS1,61.5,59.0,730,4.37,4.41,2.7
194,0.9,Premium,D,SI1,62.2,60.0,3013,6.08,6.05,3.77
195,1.24,Ideal,H,SI1,61.3,57.0,6254,6.95,6.89,4.24
196,0.52,Ideal,G,SI1,61.1,55.0,1197,5.22,5.26,3.2
197,0.31,Ideal,G,VVS2,61.4,56.0,707,4.35,4.38,2.68
198,1.24,Ideal,G,SI2,61.4,56.0,5520,6.98,6.92,4.27
199,1.54,Premium,G,SI1,61.8,59.0,11107,7.32,7.37,4.54
200,0.56,Ideal,E,VS1,60.8,55.0,1791,5.37,5.32,3.25
201,1.71,Premium,G,VS2,61.3,58.0,11032,7.64,7.6,4.67
202,0.91,Very Good,D,VS2,62.7,59.0,4720,6.13,6.16,3.85
203,1.02,Premium,F,VS1,62.7,55.0,7677,6.43,6.37,4.01
204,0.31,Ideal,G,VS1,61.5,56.0,802,4.43,4.39,2.71
205,0.91,Very Good,G,SI2,60.0,57.0,3531,6.27,6.32,3.78
206,2.0,Premium,E,SI2,60.3,58.0,12987,8.15,8.08,4.89
207,0.54,Premium,D,VS2,61.1,55.0,1993,5.37,5.24,3.24
208,1.51,Ideal,F,VVS2,62.6,57.0,16754,7.36,7.25,4.57
209,1.7,Premium,G,VS2,61.4,58.0,12681,7.67,7.63,4.7
210,0.33,Ideal,F,VS2,62.1,55.0,854,4.47,4.45,2.77
211,1.01,Very Good,E,SI1,62.8,60.0,5132,6.38,6.39,4.01
212,0.71,Very Good,E,VS2,63.8,58.0,2804,5.62,5.66,3.6
213,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42
214,0.31,Ideal,F,IF,62.1,54.0,914,4.36,4.4,2.72
215,0.52,Ideal,J,SI1,62.0,54.0,930,5.15,5.18,3.2
216,0.71,Ideal,E,VS1,62.4,56.0,2877,5.75,5.7,3.57
217,0.52,Ideal,D,VS1,60.4,56.0,2146,5.24,5.26,3.17
218,2.01,Ideal,G,SI2,61.5,55.0,11602,8.15,8.11,5.0
219,0.27,Ideal,E,VVS2,62.1,57.0,799,4.15,4.13,2.57
220,0.72,Ideal,F,VS2,61.9,54.0,2568,5.77,5.74,3.56
221,0.3,Premium,E,SI2,61.7,61.0,540,4.33,4.29,2.66
222,1.01,Very Good,I,SI2,63.5,57.0,4244,6.35,6.37,4.04
223,1.01,Good,E,SI2,57.5,63.0,4171,6.56,6.58,3.78
224,0.45,Ideal,H,VVS1,61.8,57.0,1178,4.92,4.95,3.05
225,0.58,Very Good,F,SI1,62.6,57.0,1373,5.24,5.36,3.32
226,1.5,Very Good,G,SI1,62.2,58.0,9515,7.21,7.28,4.51
227,1.01,Very Good,G,VS1,63.1,59.0,5294,6.32,6.23,3.96
228,0.42,Ideal,E,VS2,62.2,55.0,958,4.79,4.83,2.99
229,1.58,Ideal,E,SI1,61.0,57.0,13557,7.55,7.5,4.59
230,0.39,Ideal,H,VS2,62.0,54.4,670,4.67,4.72,2.91
231,0.33,Premium,I,SI1,,58.0,572,4.5,4.46,2.75
232,0.7,Ideal,E,SI1,61.1,56.0,3330,5.75,5.78,3.52
233,0.71,Ideal,E,VS1,62.3,54.0,3212,5.69,5.73,3.56
234,0.3,Ideal,H,SI1,61.6,57.0,572,4.28,4.32,2.65
235,0.3,Ideal,H,VVS2,62.1,54.0,590,4.32,4.35,2.69
236,0.37,Ideal,E,SI1,61.4,56.0,606,4.6,4.65,2.84
237,0.23,Very Good,D,VVS2,62.2,58.0,530,3.94,3.97,2.46
238,0.74,Ideal,E,SI2,61.9,56.0,2464,5.8,5.83,3.6
239,0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
240,0.4,Ideal,F,VS1,61.8,55.0,971,4.76,4.78,2.95
241,0.34,Good,E,SI1,63.4,55.0,556,4.44,4.46,2.82
242,2.01,Premium,F,SI2,61.3,61.0,16881,8.11,8.01,4.94
243,0.31,Ideal,H,VVS2,62.2,55.0,802,4.36,4.35,2.71
244,1.21,Good,I,SI1,62.7,59.0,5252,6.63,6.71,4.18
245,0.3,Good,E,SI1,63.1,53.0,526,4.27,4.32,2.71
246,0.35,Premium,F,VS1,60.7,58.0,984,4.58,4.54,2.77
247,0.77,Premium,D,SI1,59.5,60.0,2939,6.01,5.95,3.56
248,0.96,Fair,I,SI2,66.3,58.0,2540,6.07,5.9,3.97
249,0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51
250,0.34,Ideal,G,VVS1,62.5,53.0,956,4.49,4.47,2.8
251,1.5,Premium,G,SI2,58.5,62.0,8736,7.44,7.4,4.34
252,0.54,Ideal,G,VS1,61.6,56.0,1957,5.24,5.28,3.24
253,1.29,Premium,I,SI1,62.0,59.0,6140,7.03,6.98,4.34
254,1.07,Very Good,G,VS1,60.9,55.0,6998,6.6,6.64,4.03
255,0.31,Ideal,D,SI2,61.3,56.0,593,4.41,4.36,2.69
256,0.36,Very Good,D,SI1,63.1,55.0,851,4.59,4.54,2.88
257,0.62,Premium,G,SI1,59.6,58.0,1382,5.63,5.56,3.34
258,0.3,Ideal,I,VS1,62.3,55.0,457,4.3,4.34,2.69
259,0.24,Very Good,G,VS1,62.4,56.0,391,3.99,4.03,2.5
260,0.52,Very Good,G,VS2,63.0,55.0,1369,5.13,5.16,3.24
261,0.56,Good,E,SI2,63.5,57.0,1172,5.21,5.24,3.32
262,0.29,Ideal,G,VVS2,61.9,56.0,607,4.24,4.25,2.62
263,1.12,Ideal,F,VVS2,61.4,57.0,9461,6.66,6.69,4.1
264,0.7,Premium,E,SI1,60.0,59.0,2753,5.75,5.79,3.46
265,0.31,Ideal,E,VVS2,60.4,61.0,710,4.37,4.44,2.66
266,1.16,Premium,E,SI1,61.3,60.0,6366,6.7,6.64,4.09
267,1.02,Very Good,F,VS2,63.3,58.0,6007,6.36,6.38,4.03
268,0.97,Premium,F,SI1,59.9,59.0,4726,6.39,6.36,3.82
269,0.98,Very Good,G,SI2,62.2,57.0,4542,6.33,6.37,3.95
270,1.09,Premium,D,SI2,60.3,60.0,5186,6.68,6.61,4.01
271,0.24,Premium,D,VVS1,61.5,60.0,710,4.0,3.97,2.45
272,1.13,Premium,G,VVS2,61.4,58.0,7875,6.68,6.73,4.12
273,1.03,Fair,G,SI1,64.7,63.0,4424,6.36,6.31,4.1
274,1.21,Very Good,H,SI1,62.4,58.0,5826,6.83,6.79,4.25
275,1.24,Ideal,F,SI2,60.0,56.0,5000,7.03,7.0,4.21
276,1.51,Good,I,SI1,63.9,63.0,7233,7.17,7.2,4.59
277,0.39,Premium,G,VS1,62.4,57.0,1097,4.68,4.62,2.9
278,0.38,Premium,E,VS2,59.2,60.0,1112,4.77,4.73,2.81
279,2.01,Very Good,F,SI2,60.3,60.0,16728,8.08,8.11,4.88
280,0.32,Very Good,E,VS2,62.9,56.0,702,4.36,4.39,2.75
281,1.58,Very Good,D,SI1,62.7,60.0,13869,7.37,7.41,4.63
282,1.52,Premium,F,VS2,62.3,56.0,14544,7.34,7.29,4.56
283,1.76,Ideal,I,SI2,61.2,55.0,9714,7.79,7.76,4.76
284,2.02,Ideal,H,SI2,62.1,57.0,10826,8.13,8.09,5.04
285,1.05,Very Good,G,VS2,60.1,55.0,6028,6.65,6.73,4.02
286,0.75,Premium,F,VS2,61.6,58.0,3013,5.84,5.89,3.61
287,0.31,Ideal,G,VVS1,62.5,54.0,789,4.34,4.37,2.72
288,1.01,Very Good,D,SI2,62.8,59.0,4588,6.34,6.44,4.01
289,0.52,Very Good,H,VS1,59.6,57.0,1320,5.25,5.34,3.15
290,1.5,Fair,G,VVS2,64.8,56.0,13553,7.18,7.12,4.63
291,0.71,Good,I,VVS1,63.8,56.0,2549,5.65,5.7,3.62
292,0.41,Ideal,F,SI1,63.0,56.0,904,4.78,4.71,2.99
293,0.72,Ideal,G,VVS1,62.2,54.4,3492,5.73,5.76,3.57
294,0.56,Ideal,G,VS1,60.7,55.0,1855,5.33,5.36,3.25
295,1.55,Ideal,J,SI1,61.7,54.0,7987,7.42,7.55,4.62
296,2.2,Premium,I,SI2,62.4,55.0,16190,8.41,8.34,5.23
297,0.3,Premium,E,VS2,60.7,59.0,844,4.33,4.3,2.62
298,0.5,Fair,G,VS2,65.7,57.0,1031,4.97,4.9,3.24
299,1.02,Very Good,E,VS1,61.0,58.0,7503,6.46,6.52,3.96
300,0.6,Very Good,G,SI1,63.1,57.0,1565,5.32,5.41,3.39
301,0.24,Very Good,E,VVS1,62.5,59.0,552,3.96,4.01,2.49
302,0.95,Very Good,I,SI1,61.0,61.0,3544,6.29,6.37,3.86
303,0.32,Premium,H,VS2,61.7,59.0,648,4.4,4.35,2.7
304,1.5,Very Good,F,SI2,63.1,63.0,8702,7.27,7.21,4.57
305,0.31,Good,H,VVS1,63.3,56.0,707,4.3,4.32,2.73
306,0.53,Premium,G,VS2,60.7,59.0,1607,5.24,5.18,3.16
307,1.11,Very Good,F,SI1,60.1,61.0,5384,6.64,6.74,4.06
308,0.44,Ideal,I,VS1,61.1,56.0,807,4.92,4.96,3.02
309,0.7,Premium,G,VS2,58.2,60.0,2328,5.84,5.78,3.38
310,0.7,Ideal,F,SI1,61.2,55.0,3119,5.74,5.76,3.52
311,0.43,Ideal,D,VS1,62.1,55.0,1264,4.86,4.83,3.01
312,0.99,Very Good,G,SI1,,56.0,4863,6.34,6.36,3.99
313,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
314,0.79,Very Good,I,SI1,63.3,57.0,2095,5.86,5.83,3.7
315,0.71,Ideal,F,VS1,61.1,56.0,3404,5.75,5.78,3.52
316,0.38,Ideal,D,VVS2,61.5,57.0,1200,4.63,4.67,2.86
317,1.0,Good,E,VS1,60.0,65.0,7190,6.48,6.43,3.87
318,0.31,Ideal,F,IF,62.3,57.0,1122,4.34,4.3,2.69
319,0.36,Premium,E,VS2,62.3,58.0,1013,4.55,4.51,2.82
320,0.53,Good,I,SI1,65.5,59.0,923,5.01,5.06,3.3
321,0.3,Very Good,E,VS1,63.8,59.0,640,4.21,4.22,2.69
322,0.3,Very Good,J,VS1,59.5,60.0,427,4.39,4.45,2.63
323,0.39,Very Good,E,VS2,63.1,56.0,1065,4.69,4.63,2.94
324,1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27
325,0.3,Good,J,VS1,63.5,58.0,394,4.24,4.27,2.7
326,0.51,Ideal,G,VVS2,60.1,56.0,1813,5.22,5.24,3.14
327,0.6,Ideal,G,VS1,61.1,57.0,2147,5.41,5.45,3.32
328,0.4,Premium,F,VS1,60.3,60.0,982,4.77,4.81,2.89
329,0.33,Very Good,G,VVS2,61.4,55.0,692,4.46,4.5,2.75
330,1.12,Premium,E,SI2,63.0,61.0,4215,6.66,6.61,4.18
331,1.0,Good,G,SI1,,62.0,4466,6.32,6.36,3.96
332,1.0,Ideal,F,SI2,62.4,57.0,5798,6.37,6.42,3.99
333,1.5,Premium,I,SI2,62.7,57.0,7526,7.35,7.28,4.59
334,0.52,Ideal,F,VS1,62.2,55.0,1872,5.18,5.14,3.21
335,0.98,Ideal,G,SI2,61.7,56.0,4470,6.36,6.4,3.93
336,0.9,Ideal,H,SI1,61.6,56.0,4740,6.17,6.23,3.82
337,0.42,Ideal,G,VS1,61.0,56.0,1055,4.86,4.82,2.95
338,0.82,Ideal,I,SI2,61.1,57.0,2075,6.05,6.09,3.71
339,0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
340,0.42,Ideal,D,VS2,62.7,55.0,938,4.79,4.81,3.01
341,0.3,Premium,H,VS1,60.4,61.0,675,4.34,4.3,2.61
342,1.27,Premium,I,SI2,62.0,60.0,4836,6.91,6.86,4.27
343,0.31,Ideal,F,IF,61.8,54.0,1046,4.37,4.33,2.69
344,1.19,Ideal,G,,60.7,57.0,9587,6.8,6.85,4.14
345,0.35,Ideal,D,VS2,60.6,57.0,964,4.63,4.58,2.79
346,0.61,Good,G,VS2,59.9,61.0,1668,5.48,5.6,3.32
347,0.37,Premium,G,SI1,62.1,60.0,551,4.54,4.61,2.84
348,1.09,Ideal,F,SI2,62.0,56.0,5306,6.62,6.58,4.09
349,0.3,Very Good,E,IF,60.9,59.0,949,4.29,4.32,2.62
350,0.31,Good,D,SI1,63.5,56.0,571,4.29,4.31,2.73
351,1.21,Very Good,H,VS2,60.1,57.0,6887,6.88,6.97,4.16
352,0.55,Very Good,F,VS2,61.8,57.0,1676,5.23,5.28,3.25
353,0.51,Ideal,E,SI1,62.5,56.0,1443,5.1,5.07,3.18
354,1.01,Premium,G,VS2,61.2,59.0,5131,6.43,6.37,3.92
